b1_b4_b8_b12_b15_id;b1;b4;b8;b12;b15
399;1;5;11;16;23
400;1;5;11;16;24
401;1;5;11;16;25
402;1;5;11;17;20
403;1;5;11;17;21
404;1;5;11;17;22
405;1;5;11;17;23
406;1;5;11;17;24
407;1;5;11;17;25
408;1;5;11;18;21
409;1;5;11;18;22
410;1;5;11;18;23
411;1;5;11;18;24
412;1;5;11;18;25
413;1;5;11;19;22
414;1;5;11;19;23
415;1;5;11;19;24
416;1;5;11;19;25
417;1;5;11;20;23
418;1;5;11;20;24
419;1;5;11;20;25
420;1;5;11;21;24
421;1;5;11;21;25
422;1;5;11;22;25
423;1;5;12;16;19
424;1;5;12;16;20
425;1;5;12;16;21
426;1;5;12;16;22
427;1;5;12;16;23
428;1;5;12;16;24
429;1;5;12;16;25
430;1;5;12;17;20
431;1;5;12;17;21
432;1;5;12;17;22
433;1;5;12;17;23
434;1;5;12;17;24
435;1;5;12;17;25
436;1;5;12;18;21
437;1;5;12;18;22
438;1;5;12;18;23
439;1;5;12;18;24
440;1;5;12;18;25
441;1;5;12;19;22
442;1;5;12;19;23
443;1;5;12;19;24
444;1;5;12;19;25
445;1;5;12;20;23
446;1;5;12;20;24
447;1;5;12;20;25
448;1;5;12;21;24
449;1;5;12;21;25
450;1;5;12;22;25
451;1;5;13;17;20
452;1;5;13;17;21
453;1;5;13;17;22
454;1;5;13;17;23
455;1;5;13;17;24
456;1;5;13;17;25
457;1;5;13;18;21
458;1;5;13;18;22
459;1;5;13;18;23
460;1;5;13;18;24
461;1;5;13;18;25
462;1;5;13;19;22
463;1;5;13;19;23
464;1;5;13;19;24
465;1;5;13;19;25
466;1;5;13;20;23
467;1;5;13;20;24
468;1;5;13;20;25
469;1;5;13;21;24
470;1;5;13;21;25
471;1;5;13;22;25
472;1;5;14;18;21
473;1;5;14;18;22
474;1;5;14;18;23
475;1;5;14;18;24
476;1;5;14;18;25
477;1;5;14;19;22
478;1;5;14;19;23
479;1;5;14;19;24
480;1;5;14;19;25
481;1;5;14;20;23
482;1;5;14;20;24
483;1;5;14;20;25
484;1;5;14;21;24
485;1;5;14;21;25
486;1;5;14;22;25
487;1;5;15;19;22
488;1;5;15;19;23
489;1;5;15;19;24
490;1;5;15;19;25
491;1;5;15;20;23
492;1;5;15;20;24
493;1;5;15;20;25
494;1;5;15;21;24
495;1;5;15;21;25
496;1;5;15;22;25
497;1;5;16;20;23
498;1;5;16;20;24
499;1;5;16;20;25
500;1;5;16;21;24
501;1;5;16;21;25
502;1;5;16;22;25
503;1;5;17;21;24
504;1;5;17;21;25
505;1;5;17;22;25
506;1;5;18;22;25
507;1;6;10;14;17
508;1;6;10;14;18
509;1;6;10;14;19
510;1;6;10;14;20
511;1;6;10;14;21
512;1;6;10;14;22
513;1;6;10;14;23
514;1;6;10;14;24
515;1;6;10;14;25
516;1;6;10;15;18
517;1;6;10;15;19
518;1;6;10;15;20
519;1;6;10;15;21
520;1;6;10;15;22
521;1;6;10;15;23
522;1;6;10;15;24
523;1;6;10;15;25
524;1;6;10;16;19
525;1;6;10;16;20
526;1;6;10;16;21
527;1;6;10;16;22
528;1;6;10;16;23
529;1;6;10;16;24
530;1;6;10;16;25
531;1;6;10;17;20
532;1;6;10;17;21
533;1;6;10;17;22
534;1;6;10;17;23
535;1;6;10;17;24
536;1;6;10;17;25
537;1;6;10;18;21
538;1;6;10;18;22
539;1;6;10;18;23
540;1;6;10;18;24
541;1;6;10;18;25
542;1;6;10;19;22
